School,G,W,L,W-L%,TmPts,OppPts,TmMP,TmFG,TmFGA,TmFG%,Tm3P,Tm3PA,Tm3P%,TmFT,TmFTA,TmFT%,TmORB,TmTRB,TmAST,TmSTL,TmBLK,TmTOV,TmPF
Abilene Christian,34,16,18,.471,2452,2500,1375,861,1987,.433,180,530,.340,550,757,.727,329,1139,431,262,72,434,665
Air Force,31,9,22,.290,2051,2243,1250,727,1604,.453,273,757,.361,324,475,.682,225,872,451,202,122,372,541
Akron NCAA,35,24,11,.686,2577,2316,1405,915,2018,.453,280,863,.324,467,642,.727,363,1278,455,197,100,394,583
Alabama NCAA,37,25,12,.676,3335,3006,1490,1136,2385,.476,413,1108,.373,650,842,.772,472,1467,587,256,162,438,734
Alabama A&M,35,12,23,.343,2414,2653,1405,806,1918,.420,148,516,.287,654,906,.722,394,1248,369,261,136,565,727
Alabama State,32,13,19,.406,2195,2221,1303,772,2087,.370,223,793,.281,428,592,.723,453,1265,345,277,123,361,609
Albany (NY),32,13,19,.406,2517,2521,1285,918,2059,.446,250,757,.330,431,594,.726,364,1153,411,266,101,425,621
Alcorn State,32,14,18,.438,2300,2477,1285,818,1851,.442,166,492,.337,498,699,.712,360,1086,371,220,56,370,567
American,32,16,16,.500,2200,2176,1291,782,1740,.449,279,794,.351,355,492,.722,287,1043,449,186,54,347,527
Appalachian State,34,27,7,.794,2665,2283,1390,997,2100,.475,224,674,.332,447,657,.680,373,1416,498,209,230,365,449
Arizona NCAA,36,27,9,.750,3137,2594,1465,1124,2321,.484,284,776,.366,605,844,.717,471,1533,665,300,133,430,590
Arizona State,32,14,18,.438,2209,2368,1285,791,1901,.416,215,716,.300,412,629,.655,269,1064,385,263,117,335,532
Arkansas,33,16,17,.485,2566,2633,1340,859,1898,.453,199,625,.318,649,859,.756,281,1139,387,198,201,395,655
Arkansas State,37,20,17,.541,2917,2850,1485,1021,2313,.441,341,991,.344,534,761,.702,489,1419,536,207,163,414,644
Arkansas-Pine Bluff,31,13,18,.419,2483,2536,1240,813,1821,.446,337,898,.375,520,682,.762,261,1073,467,183,67,413,568
Army,32,10,22,.313,1930,2059,1295,707,1747,.405,252,788,.320,264,449,.588,308,1088,401,184,126,389,506
Auburn NCAA,35,27,8,.771,2909,2391,1400,1010,2121,.476,280,795,.352,609,812,.750,393,1323,622,258,215,374,678
Austin Peay,35,19,16,.543,2619,2561,1425,941,2105,.447,277,768,.361,460,652,.706,378,1188,388,250,95,308,615
Ball State,31,15,16,.484,2280,2200,1255,769,1726,.446,232,641,.362,510,665,.767,294,1082,385,170,96,374,469
Baylor NCAA,35,24,11,.686,2814,2489,1430,967,2001,.483,301,773,.389,579,791,.732,399,1229,514,236,110,421,577
Bellarmine,31,8,23,.258,2153,2320,1250,797,1837,.434,238,698,.341,321,412,.779,245,1002,420,164,60,297,486
Belmont,33,20,13,.606,2570,2493,1325,922,1939,.476,301,811,.371,425,588,.723,237,1130,504,248,101,402,511
Bethune-Cookman,34,17,17,.500,2479,2467,1375,860,1994,.431,199,620,.321,560,742,.755,356,1139,414,351,117,471,696
Binghamton,30,15,15,.500,2163,2167,1210,801,1738,.461,164,536,.306,397,595,.667,313,1156,435,150,113,366,498
Boise State NCAA,33,22,11,.667,2479,2221,1330,858,1913,.449,258,759,.340,505,686,.736,384,1231,404,189,78,366,550
Boston College,36,20,16,.556,2667,2587,1450,982,2155,.456,299,826,.362,404,539,.750,338,1271,509,212,124,376,566
Boston University,33,16,17,.485,2193,2198,1335,768,1856,.414,254,763,.333,403,562,.717,309,1167,427,216,102,384,571
Bowling Green State,34,20,14,.588,2502,2414,1385,882,2045,.431,216,730,.296,522,730,.715,386,1292,383,221,96,392,533
Bradley,35,23,12,.657,2592,2348,1415,943,1999,.472,306,835,.366,400,550,.727,324,1214,463,250,144,423,578
Brigham Young NCAA,34,23,11,.676,2768,2378,1360,992,2155,.460,378,1087,.348,406,547,.742,405,1343,629,202,101,364,602
Brown,31,13,18,.419,2212,2227,1261,782,1818,.430,254,745,.341,394,603,.653,367,1154,417,196,131,385,519
Bryant,33,20,13,.606,2598,2488,1330,954,2087,.457,273,806,.339,417,623,.669,259,1246,487,230,213,393,557
Bucknell,33,14,19,.424,2153,2217,1335,758,1770,.428,269,795,.338,368,514,.716,276,1073,399,202,113,405,559
Buffalo,31,4,27,.129,2108,2471,1245,770,1830,.421,207,746,.277,361,504,.716,323,1082,415,188,141,450,484
Butler,33,18,15,.545,2544,2432,1350,922,2036,.453,276,778,.355,424,536,.791,308,1162,499,204,110,361,454
Cal Poly,32,4,28,.125,2037,2371,1295,719,1778,.404,198,598,.331,401,569,.705,283,1000,314,173,117,405,614
Cal State Bakersfield,32,13,19,.406,2199,2214,1295,807,1861,.434,150,476,.315,435,602,.723,382,1109,335,220,114,389,652
Cal State Fullerton,32,14,18,.438,2172,2212,1285,740,1717,.431,207,627,.330,485,685,.708,269,1048,284,214,98,393,571
Cal State Northridge,34,19,15,.559,2551,2503,1365,940,2065,.455,165,537,.307,506,757,.668,402,1362,472,253,114,481,707
California,32,13,19,.406,2367,2465,1310,833,1980,.421,281,831,.338,420,578,.727,343,1189,387,193,83,370,552
California Baptist,33,16,17,.485,2222,2197,1330,762,1857,.410,220,674,.326,478,700,.683,397,1241,372,133,87,392,524
Campbell,32,14,18,.438,2272,2307,1295,806,1740,.463,232,673,.345,428,590,.725,246,1040,425,202,77,383,485
Canisius,32,14,18,.438,2252,2307,1290,841,1910,.440,232,690,.336,338,541,.625,384,1181,401,192,111,432,520
Central Arkansas,32,9,23,.281,2309,2502,1285,817,1965,.416,256,747,.343,419,566,.740,359,1165,437,225,105,407,548
Central Connecticut State,31,20,11,.645,2237,2061,1250,810,1798,.451,208,645,.322,409,577,.709,298,1111,444,232,150,349,423
Central Michigan,32,18,14,.563,2127,2242,1315,790,1880,.420,200,660,.303,347,526,.660,339,1162,364,192,119,384,527
Charleston Southern,30,10,20,.333,2028,2210,1200,715,1727,.414,208,629,.331,390,530,.736,301,1066,306,115,90,366,512
Charlotte,31,19,12,.613,2131,2034,1250,748,1655,.452,201,635,.317,434,576,.753,260,1006,407,168,105,301,479
Chattanooga,33,21,12,.636,2581,2362,1335,892,1915,.466,349,971,.359,448,601,.745,305,1206,447,208,121,393,524
Chicago State,32,13,19,.406,2224,2258,1285,771,1816,.425,201,641,.314,481,676,.712,389,1074,354,277,103,422,559
Cincinnati,37,22,15,.595,2765,2522,1500,1023,2310,.443,280,849,.330,439,638,.688,492,1460,540,240,164,445,555
Clemson NCAA,36,24,12,.667,2785,2563,1450,991,2115,.469,296,844,.351,507,650,.780,326,1308,533,165,138,363,585
Cleveland State,36,21,15,.583,2717,2622,1450,1005,2246,.447,232,697,.333,475,711,.668,455,1267,477,297,140,370,658
Coastal Carolina,31,9,22,.290,2280,2434,1250,835,1880,.444,201,626,.321,409,616,.664,353,1250,395,178,97,420,496
Colgate NCAA,35,25,10,.714,2498,2242,1400,929,1979,.469,272,757,.359,368,540,.681,286,1245,526,227,122,368,468
College of Charleston NCAA,35,27,8,.771,2832,2575,1405,1006,2278,.442,368,1072,.343,452,626,.722,457,1392,536,219,108,348,558
Colorado NCAA,37,26,11,.703,2935,2654,1495,1049,2121,.495,254,649,.391,583,744,.784,368,1367,600,221,80,467,548
Colorado State NCAA,36,25,11,.694,2707,2422,1450,980,2024,.484,264,781,.338,483,642,.752,283,1203,648,226,113,376,613
Columbia,27,13,14,.481,2078,1956,1080,749,1597,.469,231,616,.375,349,477,.732,265,964,471,209,62,330,437
Connecticut NCAA,40,37,3,.925,3256,2536,1600,1177,2367,.497,340,951,.358,562,756,.743,469,1553,748,246,217,383,650
Coppin State,29,2,27,.069,1678,2112,1170,585,1571,.372,153,540,.283,355,489,.726,283,873,240,222,81,455,513
Cornell,30,22,8,.733,2463,2241,1200,895,1836,.487,310,892,.348,363,502,.723,287,1063,544,250,79,366,549
Creighton NCAA,35,25,10,.714,2815,2446,1435,1016,2101,.484,375,1018,.368,408,518,.788,294,1334,588,134,143,372,403
Dartmouth,27,6,21,.222,1670,1940,1080,594,1447,.411,191,626,.305,291,422,.690,200,898,332,120,95,344,374
Davidson,32,15,17,.469,2242,2174,1300,783,1816,.431,235,749,.314,441,602,.733,295,1109,403,207,112,338,511
Dayton NCAA,33,25,8,.758,2448,2193,1325,831,1752,.474,310,777,.399,476,643,.740,265,1107,483,182,129,343,447
Delaware,33,19,14,.576,2416,2299,1325,891,1917,.465,227,678,.335,407,576,.707,304,1178,454,178,100,356,496
Delaware State,34,15,19,.441,2401,2415,1385,851,1961,.434,158,494,.320,541,766,.706,385,1170,413,285,66,503,574
Denver,34,17,17,.500,2755,2737,1385,946,2103,.450,294,845,.348,569,779,.730,348,1213,444,211,132,340,573
DePaul,32,3,29,.094,2071,2616,1280,725,1714,.423,200,597,.335,421,574,.733,233,951,392,168,99,435,482
Detroit Mercy,32,1,31,.031,2111,2568,1290,761,1806,.421,187,666,.281,402,547,.735,286,945,346,222,78,427,553
Drake NCAA,35,28,7,.800,2797,2463,1435,992,2079,.477,300,819,.366,513,681,.753,278,1202,559,226,56,337,570
Drexel,32,20,12,.625,2346,2130,1295,861,1886,.457,216,628,.344,408,565,.722,369,1253,406,161,127,346,491
Duke NCAA,36,27,9,.750,2830,2387,1440,1004,2112,.475,298,791,.377,524,725,.723,383,1319,551,235,132,349,571
Duquesne NCAA,37,25,12,.676,2611,2467,1480,921,2110,.436,279,821,.340,490,681,.720,389,1288,497,277,160,433,634
East Carolina,33,15,18,.455,2287,2319,1330,803,1903,.422,218,696,.313,463,669,.692,393,1154,406,260,92,358,516
East Tennessee State,35,19,16,.543,2502,2435,1405,866,2131,.406,272,876,.311,498,730,.682,486,1350,399,269,163,433,638
Eastern Illinois,32,14,18,.438,2204,2172,1280,822,1951,.421,179,560,.320,381,521,.731,349,1131,413,258,95,331,567
Eastern Kentucky,31,17,14,.548,2504,2371,1245,917,1993,.460,243,678,.358,427,628,.680,410,1244,453,196,190,356,502
Eastern Michigan,31,13,18,.419,2047,2252,1255,783,1825,.429,178,585,.304,303,454,.667,321,1069,321,179,77,361,508
Eastern Washington,32,21,11,.656,2586,2407,1285,894,1783,.501,273,749,.364,525,681,.771,258,1083,562,191,115,422,579
Elon,32,13,19,.406,2339,2413,1280,824,1848,.446,275,781,.352,416,588,.707,331,1082,418,201,85,379,503
Evansville,35,17,18,.486,2481,2562,1410,915,2043,.448,237,705,.336,414,577,.718,270,1178,451,227,108,406,535
Fairfield,37,24,13,.649,2794,2626,1480,991,2221,.446,342,943,.363,470,620,.758,368,1239,497,314,82,394,531
FDU,32,15,17,.469,2430,2482,1290,843,2012,.419,268,812,.330,476,680,.700,364,1191,484,263,81,408,571
Florida NCAA,36,24,12,.667,3080,2851,1465,1077,2351,.458,280,812,.345,646,903,.715,527,1522,546,241,189,420,664
Florida A&M,29,6,23,.207,1949,2240,1180,727,1679,.433,170,495,.343,325,464,.700,278,1002,414,173,82,442,541
Florida Atlantic NCAA,34,25,9,.735,2789,2495,1390,992,2074,.478,284,810,.351,521,724,.720,396,1294,505,244,105,388,546
Florida Gulf Coast,32,14,18,.438,2253,2276,1285,827,1817,.455,250,704,.355,349,502,.695,316,1098,375,193,108,363,464
Florida International,33,11,22,.333,2429,2525,1325,882,2019,.437,284,840,.338,381,569,.670,344,1044,465,337,135,451,595
Florida State,33,17,16,.515,2526,2518,1325,903,1995,.453,200,630,.317,520,735,.707,336,1098,406,305,142,392,651
Fordham,33,13,20,.394,2325,2389,1345,798,1993,.400,265,841,.315,464,701,.662,430,1225,419,265,156,426,666
Fresno State,33,12,21,.364,2233,2439,1340,812,1794,.453,229,690,.332,380,555,.685,260,1043,411,203,81,415,520
Furman,33,17,16,.515,2623,2506,1340,911,2054,.444,320,988,.324,481,661,.728,371,1247,535,235,95,391,528
Gardner-Webb,33,17,16,.515,2426,2414,1336,867,1992,.435,249,722,.345,443,702,.631,370,1260,419,193,78,385,633
George Mason,32,20,12,.625,2273,2109,1280,791,1720,.460,218,637,.342,473,637,.743,323,1152,365,175,110,378,527
George Washington,32,15,17,.469,2457,2472,1315,841,1901,.442,287,796,.361,488,654,.746,293,1180,395,189,153,397,465
Georgetown,32,9,23,.281,2267,2492,1290,775,1867,.415,265,766,.346,452,633,.714,390,1090,391,183,98,390,533
Georgia,37,20,17,.541,2764,2764,1485,943,2195,.430,300,883,.340,578,803,.720,366,1319,436,237,121,421,598
Georgia Southern,33,9,24,.273,2420,2615,1335,847,1971,.430,309,878,.352,417,570,.732,347,1130,354,228,132,436,662
Georgia State,31,14,17,.452,2370,2319,1250,856,1967,.435,234,718,.326,424,560,.757,325,1160,366,179,89,301,543
Georgia Tech,32,14,18,.438,2272,2407,1300,810,1924,.421,254,780,.326,398,561,.709,367,1219,425,140,128,393,527
Gonzaga NCAA,35,27,8,.771,2959,2420,1400,1120,2162,.518,243,674,.361,476,660,.721,379,1355,585,233,135,342,546
Grambling NCAA,36,21,15,.583,2436,2506,1458,860,1955,.440,185,547,.338,531,750,.708,346,1158,354,266,115,473,577
Grand Canyon NCAA,35,30,5,.857,2769,2346,1405,924,2008,.460,245,729,.336,676,903,.749,412,1335,424,289,192,430,625
Green Bay,32,18,14,.563,2209,2207,1290,780,1742,.448,285,840,.339,364,504,.722,283,1061,412,140,69,384,552
Hampton,33,9,24,.273,2369,2520,1320,853,2011,.424,241,759,.318,422,591,.714,372,1221,421,193,123,411,537
Harvard,27,14,13,.519,1900,1937,1090,665,1516,.439,200,596,.336,370,527,.702,250,941,351,168,117,328,400
Hawaii,34,20,14,.588,2458,2337,1375,843,1841,.458,265,776,.341,507,706,.718,287,1155,414,157,88,423,594
High Point,36,27,9,.750,3020,2680,1465,999,2163,.462,300,879,.341,722,928,.778,476,1440,427,182,120,399,651
Hofstra,33,20,13,.606,2449,2259,1325,904,1918,.471,330,890,.371,311,413,.753,254,1081,507,204,115,344,480
Holy Cross,33,10,23,.303,2194,2462,1325,815,1857,.439,249,704,.354,315,476,.662,273,1079,365,133,109,364,532
Houston NCAA,37,32,5,.865,2720,2132,1495,981,2233,.439,286,821,.348,472,687,.687,497,1374,484,362,178,330,658
Houston Christian,29,6,23,.207,2074,2420,1165,759,1751,.433,147,488,.301,409,635,.644,346,1076,330,162,82,445,422
Howard NCAA,35,18,17,.514,2623,2600,1420,868,1932,.449,281,757,.371,606,807,.751,395,1257,485,212,98,541,661
Idaho,32,11,21,.344,2170,2278,1285,785,1778,.442,243,726,.335,357,487,.733,254,1010,392,179,102,367,567
Idaho State,34,14,20,.412,2397,2383,1385,875,1902,.460,218,663,.329,429,625,.686,337,1093,408,238,121,372,546
Illinois NCAA,38,29,9,.763,3168,2787,1530,1104,2356,.469,317,908,.349,643,874,.736,486,1554,506,166,143,401,576
Illinois State,32,15,17,.469,2128,2165,1280,743,1752,.424,194,665,.292,448,630,.711,323,1114,400,178,72,360,502
Illinois-Chicago,33,12,21,.364,2319,2361,1345,844,1927,.438,287,790,.363,344,500,.688,271,1110,459,203,176,408,583
Incarnate Word,31,8,23,.258,2240,2436,1250,768,1795,.428,236,712,.331,468,644,.727,333,1133,377,187,128,495,589
Indiana,33,19,14,.576,2386,2452,1320,879,1848,.476,166,513,.324,462,696,.664,293,1154,504,171,133,400,559
Indiana State,39,32,7,.821,3309,2854,1565,1141,2258,.505,427,1119,.382,600,754,.796,279,1383,698,238,72,452,638
Iona,33,16,17,.485,2354,2329,1320,857,1984,.432,271,768,.353,369,566,.652,345,1051,473,292,96,336,588
Iowa,34,19,15,.559,2827,2700,1365,1025,2154,.476,226,644,.351,551,712,.774,333,1210,606,232,134,327,575
Iowa State NCAA,37,29,8,.784,2787,2277,1480,1002,2164,.463,246,687,.358,537,765,.702,393,1254,582,382,113,387,610
IU Indy,32,6,26,.188,2108,2554,1285,775,1768,.438,110,444,.248,448,609,.736,316,944,332,244,67,468,558
Jackson State,32,15,17,.469,2279,2418,1285,799,1923,.415,211,650,.325,470,668,.704,417,1161,384,239,111,428,544
Jacksonville,33,16,17,.485,2371,2389,1325,835,1918,.435,214,650,.329,485,688,.705,412,1209,355,255,100,431,648
Jacksonville State,32,14,18,.438,2240,2126,1285,803,1778,.452,170,507,.335,464,661,.702,370,1178,354,216,126,433,524
James Madison NCAA,36,32,4,.889,2995,2506,1455,1073,2254,.476,307,852,.360,542,771,.703,415,1390,577,325,113,392,621
Kansas NCAA,34,23,11,.676,2569,2376,1365,960,1967,.488,195,587,.332,454,630,.721,280,1228,647,243,133,397,502
Kansas City,32,16,16,.500,2300,2217,1300,813,1903,.427,269,811,.332,405,568,.713,367,1162,411,191,120,385,624
Kansas State,34,19,15,.559,2454,2417,1395,837,1919,.436,251,790,.318,529,735,.720,378,1275,475,202,139,503,596
Kennesaw State,31,15,16,.484,2568,2504,1250,908,2035,.446,292,888,.329,460,682,.674,380,1204,460,228,126,374,623
Kent State,34,17,17,.500,2544,2424,1385,890,2016,.441,282,788,.358,482,646,.746,377,1178,436,234,89,403,609
Kentucky NCAA,33,23,10,.697,2938,2630,1335,1055,2132,.495,327,800,.409,501,649,.772,332,1241,579,248,207,352,577
La Salle,33,16,17,.485,2398,2411,1340,877,2041,.430,281,811,.346,363,502,.723,336,1142,484,209,110,316,550
Lafayette,32,11,21,.344,2010,2154,1300,744,1823,.408,227,728,.312,295,438,.674,279,1064,421,210,139,372,518
Lamar,33,19,14,.576,2568,2406,1340,912,2025,.450,248,717,.346,496,679,.730,412,1257,544,233,123,426,615
Le Moyne,32,15,17,.469,2318,2245,1285,823,1906,.432,315,910,.346,357,469,.761,270,1093,503,256,103,367,489
Lehigh,32,14,18,.438,2326,2272,1310,829,1887,.439,230,714,.322,438,596,.735,263,1137,422,231,73,386,532
Liberty,32,18,14,.563,2362,2096,1290,863,1848,.467,324,880,.368,312,472,.661,279,1087,508,167,74,334,480
Lindenwood,31,9,22,.290,2019,2266,1245,696,1726,.403,149,527,.283,478,653,.732,272,983,249,191,77,373,541
Lipscomb,32,20,12,.625,2626,2448,1280,960,1946,.493,297,781,.380,409,533,.767,244,1064,465,196,110,321,414
Little Rock,34,21,13,.618,2628,2464,1370,957,2024,.473,217,629,.345,497,664,.748,369,1244,502,203,160,417,596
Long Beach State NCAA,36,21,15,.583,2786,2735,1450,993,2239,.444,194,637,.305,606,855,.709,450,1399,550,285,151,455,620
Long Island University,29,7,22,.241,1929,2227,1170,706,1691,.418,157,506,.310,360,532,.677,272,1014,363,187,88,422,557
Longwood NCAA,35,21,14,.600,2615,2396,1420,931,2053,.453,201,590,.341,552,804,.687,470,1343,446,244,88,444,639
Louisiana,33,19,14,.576,2504,2365,1320,919,2025,.454,251,743,.338,415,569,.729,371,1133,409,284,124,388,592
Louisiana State,33,17,16,.515,2520,2474,1325,868,1907,.455,256,717,.357,528,730,.723,345,1177,388,264,125,434,574
Louisiana Tech,32,22,10,.688,2392,2065,1290,823,1802,.457,229,633,.362,517,738,.701,376,1244,404,240,161,398,500
Louisiana-Monroe,30,11,19,.367,2096,2233,1205,751,1788,.420,152,513,.296,442,665,.665,396,1133,381,219,66,374,539
Louisville,32,8,24,.250,2304,2530,1285,799,1833,.436,175,571,.306,531,712,.746,318,1100,356,174,83,410,544
Loyola (IL),33,23,10,.697,2412,2228,1330,855,1900,.450,274,775,.354,428,629,.680,317,1213,547,233,166,423,643
Loyola (MD),32,7,25,.219,2049,2301,1295,737,1767,.417,230,685,.336,345,536,.644,328,1097,410,189,69,436,518
Loyola Marymount,31,12,19,.387,2244,2214,1240,802,1791,.448,261,710,.368,379,519,.730,307,1082,369,114,81,333,504
Maine,32,15,17,.469,2164,2159,1290,801,1831,.437,173,587,.295,389,541,.719,255,1044,397,269,105,365,522
Manhattan,30,7,23,.233,1985,2275,1215,740,1792,.413,219,695,.315,286,396,.722,275,989,432,226,88,402,417
Marist,31,18,13,.581,2004,1928,1240,726,1638,.443,212,596,.356,340,488,.697,222,996,381,212,87,378,503
Marquette NCAA,37,27,10,.730,2888,2583,1485,1078,2256,.478,327,928,.352,405,576,.703,322,1212,587,317,131,369,556
Marshall,33,13,20,.394,2435,2531,1320,864,2117,.408,270,870,.310,437,615,.711,406,1303,492,230,144,393,530
Maryland,33,16,17,.485,2278,2174,1335,766,1854,.413,201,696,.289,545,757,.720,380,1179,360,217,149,387,576
Maryland-Baltimore County,32,11,21,.344,2517,2583,1285,955,2049,.466,255,714,.357,352,504,.698,304,1179,417,163,126,418,505
Maryland-Eastern Shore,29,9,20,.310,1890,2046,1175,668,1664,.401,168,570,.295,386,540,.715,315,1014,312,203,81,399,508
Massachusetts,31,20,11,.645,2401,2193,1245,858,1904,.451,209,668,.313,476,681,.699,416,1188,483,236,93,345,579
Massachusetts-Lowell,32,22,10,.688,2561,2261,1290,913,1924,.475,186,566,.329,549,746,.736,367,1305,406,222,157,425,480
McNeese State NCAA,34,30,4,.882,2719,2116,1360,973,1997,.487,257,671,.383,516,745,.693,382,1226,506,350,115,329,588
Memphis,32,22,10,.688,2576,2424,1290,897,1952,.460,266,759,.350,514,709,.725,383,1185,438,274,145,419,551
Mercer,33,16,17,.485,2348,2371,1320,880,1961,.449,210,608,.345,378,565,.669,368,1132,434,229,113,367,631
Merrimack,33,21,12,.636,2283,2159,1330,795,1814,.438,241,779,.309,452,620,.729,260,1034,409,325,121,436,532
Miami (FL),32,15,17,.469,2424,2356,1285,889,1960,.454,286,792,.361,360,483,.745,324,1174,454,229,100,386,419
Miami (OH),32,15,17,.469,2259,2241,1285,798,1802,.443,259,717,.361,404,572,.706,257,1063,462,202,99,375,552
Michigan,32,8,24,.250,2334,2528,1295,829,1869,.444,255,710,.359,421,599,.703,340,1134,400,133,114,414,549
Michigan State NCAA,35,20,15,.571,2551,2312,1405,949,2058,.461,227,626,.363,426,602,.708,353,1215,558,248,132,350,581
Middle Tennessee,33,14,19,.424,2167,2319,1345,741,1843,.402,241,774,.311,444,631,.704,344,1147,329,175,138,462,516
Milwaukee,35,20,15,.571,2782,2753,1425,980,2198,.446,277,861,.322,545,750,.727,473,1364,498,208,155,439,635
Minnesota,34,19,15,.559,2550,2444,1365,910,1930,.472,268,754,.355,462,670,.690,343,1187,588,214,150,408,547
Mississippi,32,20,12,.625,2398,2365,1280,839,1876,.447,241,660,.365,479,658,.728,333,1071,484,251,184,344,522
Mississippi State NCAA,35,21,14,.600,2593,2417,1405,917,2027,.452,251,781,.321,508,758,.670,436,1333,491,284,107,455,580
